board0,board1,board2,board3,board4,board5,board6,board7,board8,move0,move1,move2,move3,move4,move5,move6,move7,move8
0,1,0,0,1,2,2,0,0,1,0,1,0,0,0,0,1,1
0,1,0,0,1,2,2,2,1,1,0,0,0,0,0,0,0,0
0,1,0,0,2,0,0,0,0,1,0,1,1,0,1,1,0,1
0,1,0,0,2,0,0,1,2,1,0,1,1,0,1,1,0,0
0,1,0,0,2,0,0,2,1,0,0,1,0,0,0,0,0,0
0,1,0,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0
0,1,0,0,2,0,1,2,0,1,0,0,0,0,0,0,0,0
0,1,0,0,2,0,2,0,1,0,0,1,0,0,0,0,0,0
0,1,0,0,2,0,2,1,0,1,0,1,1,0,1,0,0,1
0,1,0,0,2,1,0,0,2,1,0,0,0,0,0,0,0,0
0,1,0,0,2,1,0,2,0,0,0,1,0,0,0,0,0,0
0,1,0,0,2,1,1,2,2,1,0,0,0,0,0,0,0,0
0,1,0,0,2,1,2,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,2,1,2,1,2,1,0,1,1,0,0,0,0,0
0,1,0,0,2,1,2,2,1,0,0,1,0,0,0,0,0,0
0,1,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0
0,1,0,0,2,2,0,1,0,1,0,1,1,0,0,1,0,1
0,1,0,0,2,2,1,0,0,0,0,0,1,0,0,0,0,0
0,1,0,0,2,2,1,1,2,1,0,1,1,0,0,0,0,0
0,1,0,0,2,2,1,2,1,0,0,0,1,0,0,0,0,0
0,1,0,0,2,2,2,1,1,1,0,1,1,0,0,0,0,0
0,1,0,1,0,0,0,2,2,0,0,0,0,0,0,1,0,0
0,1,0,1,0,0,2,0,2,1,0,1,0,1,1,0,1,0
0,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1
0,1,0,1,0,2,0,0,2,0,0,1,0,0,0,0,0,0
0,1,0,1,0,2,0,2,0,1,0,0,0,0,0,0,0,0
0,1,0,1,0,2,1,2,2,1,0,1,0,0,0,0,0,0
0,1,0,1,0,2,2,0,0,0,0,1,0,1,0,0,1,1
0,1,0,1,0,2,2,1,2,0,0,1,0,1,0,0,0,0
0,1,0,1,0,2,2,2,1,1,0,0,0,0,0,0,0,0
0,1,0,1,1,2,0,2,2,1,0,1,0,0,0,1,0,0
0,1,0,1,1,2,2,0,2,0,0,0,0,0,0,0,1,0
0,1,0,1,1,2,2,2,0,0,0,0,0,0,0,0,0,1
0,1,0,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0
0,1,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0
0,1,0,1,2,0,1,2,2,1,0,0,0,0,0,0,0,0
0,1,0,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0
0,1,0,1,2,0,2,1,2,1,0,1,0,0,1,0,0,0
0,1,0,1,2,0,2,2,1,0,0,1,0,0,0,0,0,0
0,1,0,1,2,1,0,2,2,1,0,1,0,0,0,1,0,0
0,1,0,1,2,1,2,0,2,1,0,1,0,0,0,0,1,0
0,1,0,1,2,1,2,2,0,1,0,1,0,0,0,0,0,1
0,1,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0
0,1,0,1,2,2,0,1,2,1,0,1,0,0,0,1,0,0
0,1,0,1,2,2,0,2,1,1,0,0,0,0,0,0,0,0
0,1,0,1,2,2,1,0,2,1,0,0,0,0,0,0,0,0
0,1,0,1,2,2,1,2,0,1,0,0,0,0,0,0,0,0
0,1,0,1,2,2,2,0,1,0,0,1,0,0,0,0,0,0
0,1,0,1,2,2,2,1,0,0,0,1,0,0,0,0,0,0
0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,1,0,2,0,0,0,1,2,1,0,1,0,1,0,0,0,0
0,1,0,2,0,0,0,2,1,1,0,1,0,0,0,0,0,0
0,1,0,2,0,0,1,0,2,0,0,1,0,1,0,0,0,0
0,1,0,2,0,0,1,2,0,0,0,1,0,0,0,0,0,0
0,1,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0
0,1,0,2,0,0,2,1,0,1,0,0,0,1,0,0,0,0
0,1,0,2,0,1,0,0,2,1,0,0,0,1,0,1,1,0
0,1,0,2,0,1,0,2,0,0,0,1,0,0,0,0,0,0
0,1,0,2,0,1,1,2,2,0,0,1,0,0,0,0,0,0
0,1,0,2,0,1,2,0,0,1,0,0,0,0,0,0,0,0
0,1,0,2,0,1,2,1,2,1,0,0,0,1,0,0,0,0
0,1,0,2,0,1,2,2,1,1,0,1,0,0,0,0,0,0
0,1,0,2,0,2,0,0,1,0,0,0,0,1,0,0,0,0
0,1,0,2,0,2,0,1,0,0,0,0,0,1,0,0,0,0
0,1,0,2,0,2,1,0,0,0,0,0,0,1,0,0,0,0
0,1,0,2,0,2,1,1,2,0,0,0,0,1,0,0,0,0
0,1,0,2,0,2,1,2,1,0,0,0,0,1,0,0,0,0
0,1,0,2,0,2,2,1,1,0,0,0,0,1,0,0,0,0
0,1,0,2,1,0,0,0,2,1,0,1,0,0,0,1,1,0
0,1,0,2,1,0,0,2,0,1,0,1,0,0,0,0,0,0
0,1,0,2,1,0,1,2,2,0,0,1,0,0,0,0,0,0
0,1,0,2,1,0,2,0,0,1,0,0,0,0,0,0,1,0
0,1,0,2,1,0,2,2,1,1,0,0,0,0,0,0,0,0
0,1,0,2,1,1,0,2,2,0,0,0,0,0,0,1,0,0
0,1,0,2,1,1,2,0,2,0,0,0,0,0,0,0,1,0
0,1,0,2,1,1,2,2,0,1,0,1,0,0,0,0,0,1
0,1,0,2,1,2,0,0,0,1,0,1,0,0,0,1,1,1
0,1,0,2,1,2,0,2,1,1,0,1,0,0,0,1,0,0
0,1,0,2,1,2,1,0,2,0,0,1,0,0,0,0,1,0
0,1,0,2,1,2,1,2,0,1,0,1,0,0,0,0,0,1
0,1,0,2,1,2,2,0,1,1,0,0,0,0,0,0,1,0
0,1,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0
0,1,0,2,2,0,0,1,0,1,0,1,0,0,1,1,0,1
0,1,0,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0
0,1,0,2,2,0,1,1,2,1,0,1,0,0,1,0,0,0
0,1,0,2,2,0,1,2,1,0,0,0,0,0,1,0,0,0
0,1,0,2,2,0,2,1,1,1,0,1,0,0,1,0,0,0
0,1,0,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,2,2,1,0,1,2,1,0,0,0,0,0,0,0,0
0,1,0,2,2,1,0,2,1,0,0,1,0,0,0,0,0,0
0,1,0,2,2,1,1,0,2,1,0,0,0,0,0,0,0,0
0,1,0,2,2,1,1,2,0,0,0,1,0,0,0,0,0,0
0,1,0,2,2,1,2,0,1,0,0,1,0,0,0,0,0,0
0,1,0,2,2,1,2,1,0,1,0,1,0,0,0,0,0,1
0,1,1,0,0,0,0,2,2,1,0,0,0,0,0,1,0,0
0,1,1,0,0,0,2,0,2,1,0,0,0,0,0,0,1,0
0,1,1,0,0,0,2,2,0,1,0,0,0,0,0,0,0,1
0,1,1,0,0,2,0,0,2,1,0,0,1,1,0,1,1,0
0,1,1,0,0,2,0,2,0,1,0,0,0,1,0,1,0,0
0,1,1,0,0,2,1,2,2,1,0,0,1,1,0,0,0,0
0,1,1,0,0,2,2,0,0,1,0,0,0,1,0,0,1,0
0,1,1,0,0,2,2,1,2,1,0,0,1,1,0,0,0,0
0,1,1,0,0,2,2,2,1,1,0,0,0,0,0,0,0,0
0,1,1,0,1,2,0,2,2,1,0,0,0,0,0,1,0,0
0,1,1,0,1,2,2,0,2,1,0,0,0,0,0,0,1,0
0,1,1,0,1,2,2,2,0,1,0,0,0,0,0,0,0,0
0,1,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0
0,1,1,0,2,0,0,2,0,1,0,0,0,0,1,0,0,1
0,1,1,0,2,0,1,2,2,1,0,0,0,0,0,0,0,0
0,1,1,0,2,0,2,0,0,1,0,0,0,0,1,0,0,1
0,1,1,0,2,0,2,1,2,1,0,0,0,0,0,0,0,0
0,1,1,0,2,0,2,2,1,1,0,0,1,0,1,0,0,0
0,1,1,0,2,1,0,2,2,1,0,0,0,0,0,0,0,0
0,1,1,0,2,1,2,0,2,1,0,0,0,0,0,0,0,0
0,1,1,0,2,1,2,2,0,1,0,0,0,0,0,0,0,1
0,1,1,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0
0,1,1,0,2,2,0,1,2,1,0,0,0,0,0,0,0,0
0,1,1,0,2,2,0,2,1,1,0,0,0,0,0,0,0,0
0,1,1,0,2,2,1,0,2,1,0,0,0,0,0,0,0,0
0,1,1,0,2,2,1,2,0,1,0,0,0,0,0,0,0,0
0,1,1,0,2,2,2,0,1,1,0,0,0,0,0,0,0,0
0,1,1,0,2,2,2,1,0,1,0,0,0,0,0,0,0,0
0,1,1,1,0,2,0,2,2,1,0,0,0,0,0,1,0,0
0,1,1,1,0,2,2,0,2,1,0,0,0,0,0,0,1,0
0,1,1,1,0,2,2,2,0,1,0,0,0,0,0,0,0,0
0,1,1,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0
0,1,1,1,2,0,2,0,2,1,0,0,0,0,0,0,0,0
0,1,1,1,2,0,2,2,0,1,0,0,0,0,0,0,0,1
0,1,1,1,2,2,0,0,2,1,0,0,0,0,0,0,0,0
0,1,1,1,2,2,0,2,0,1,0,0,0,0,0,0,0,0
0,1,1,1,2,2,1,2,2,1,0,0,0,0,0,0,0,0
0,1,1,1,2,2,2,0,0,1,0,0,0,0,0,0,0,0
0,1,1,1,2,2,2,1,2,1,0,0,0,0,0,0,0,0
0,1,1,1,2,2,2,2,1,1,0,0,0,0,0,0,0,0
0,1,1,2,0,0,0,0,2,1,0,0,0,1,0,1,1,0
0,1,1,2,0,0,0,2,0,1,0,0,0,1,1,1,0,1
0,1,1,2,0,0,1,2,2,1,0,0,0,1,1,0,0,0
0,1,1,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0
0,1,1,2,0,0,2,1,2,1,0,0,0,1,0,0,0,0
0,1,1,2,0,0,2,2,1,1,0,0,0,0,1,0,0,0
0,1,1,2,0,1,0,2,2,1,0,0,0,0,0,1,0,0
0,1,1,2,0,1,2,0,2,1,0,0,0,0,0,0,0,0
0,1,1,2,0,1,2,2,0,1,0,0,0,0,0,0,0,1
0,1,1,2,0,2,0,0,0,1,0,0,0,1,0,0,0,0
0,1,1,2,0,2,0,1,2,1,0,0,0,1,0,0,0,0
0,1,1,2,0,2,0,2,1,1,0,0,0,1,0,0,0,0
0,1,1,2,0,2,1,0,2,1,0,0,0,1,0,0,0,0
0,1,1,2,0,2,1,2,0,1,0,0,0,1,0,0,0,0
0,1,1,2,0,2,2,0,1,1,0,0,0,0,0,0,0,0
0,1,1,2,0,2,2,1,0,1,0,0,0,1,0,0,0,0
0,1,1,2,1,0,0,2,2,1,0,0,0,0,0,1,0,0
0,1,1,2,1,0,2,0,2,1,0,0,0,0,0,0,1,0
0,1,1,2,1,0,2,2,0,1,0,0,0,0,0,0,0,0
0,1,1,2,1,2,0,0,2,1,0,0,0,0,0,1,1,0
0,1,1,2,1,2,0,2,0,1,0,0,0,0,0,1,0,1
0,1,1,2,1,2,2,0,0,1,0,0,0,0,0,0,1,0
0,1,1,2,1,2,2,2,1,1,0,0,0,0,0,0,0,0
0,1,1,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0
0,1,1,2,2,0,0,1,2,1,0,0,0,0,0,0,0,0
0,1,1,2,2,0,0,2,1,1,0,0,0,0,1,0,0,0
0,1,1,2,2,0,1,0,2,1,0,0,0,0,0,0,0,0
0,1,1,2,2,0,1,2,0,1,0,0,0,0,1,0,0,0
0,1,1,2,2,0,2,0,1,1,0,0,0,0,1,0,0,0
0,1,1,2,2,0,2,1,0,1,0,0,0,0,0,0,0,0
0,1,1,2,2,1,0,0,2,1,0,0,0,0,0,0,0,0
0,1,1,2,2,1,0,2,0,1,0,0,0,0,0,1,0,1
0,1,1,2,2,1,1,2,2,1,0,0,0,0,0,0,0,0
0,1,1,2,2,1,2,0,0,1,0,0,0,0,0,0,0,1
0,1,1,2,2,1,2,1,2,1,0,0,0,0,0,0,0,0
0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
0,1,2,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0
0,1,2,0,0,0,0,2,1,1,0,0,1,1,1,1,0,0
0,1,2,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0
0,1,2,0,0,0,1,2,0,1,0,0,1,1,1,0,0,1
0,1,2,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0
0,1,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0
0,1,2,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0
0,1,2,0,0,1,0,2,0,0,0,0,1,1,0,1,0,1
0,1,2,0,0,1,1,2,2,0,0,0,1,0,0,0,0,0
0,1,2,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0
0,1,2,0,0,1,2,1,2,0,0,0,0,1,0,0,0,0
0,1,2,0,0,1,2,2,1,0,0,0,0,1,0,0,0,0
0,1,2,0,0,2,0,0,1,0,0,0,1,1,0,1,1,0
0,1,2,0,0,2,0,1,0,0,0,0,0,1,0,0,0,1
0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1
0,1,2,0,0,2,1,2,1,1,0,0,0,0,0,0,0,0
0,1,2,0,0,2,2,1,1,0,0,0,0,1,0,0,0,0
0,1,2,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0
0,1,2,0,1,0,0,2,0,0,0,0,1,0,1,1,0,1
0,1,2,0,1,0,1,2,2,0,0,0,0,0,1,0,0,0
0,1,2,0,1,0,2,0,0,1,0,0,1,0,1,0,1,1
0,1,2,0,1,0,2,2,1,1,0,0,1,0,1,0,0,0
0,1,2,0,1,1,0,2,2,0,0,0,1,0,0,0,0,0
0,1,2,0,1,1,2,0,2,0,0,0,1,0,0,0,1,0
0,1,2,0,1,1,2,2,0,0,0,0,1,0,0,0,0,1
0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1
0,1,2,0,1,2,0,2,1,1,0,0,0,0,0,0,0,0
0,1,2,0,1,2,1,2,0,0,0,0,0,0,0,0,0,1
0,1,2,0,1,2,2,0,1,1,0,0,1,0,0,0,1,0
0,1,2,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0
0,1,2,0,2,0,0,1,0,1,0,0,1,0,1,1,0,1
0,1,2,0,2,0,1,0,0,1,0,0,1,0,1,0,0,1
0,1,2,0,2,0,1,1,2,1,0,0,1,0,1,0,0,0
0,1,2,0,2,0,1,2,1,1,0,0,1,0,1,0,0,0
0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0
0,1,2,0,2,1,0,1,2,1,0,0,1,0,0,1,0,0
0,1,2,0,2,1,0,2,1,0,0,0,0,0,0,1,0,0
0,1,2,0,2,1,1,0,2,1,0,0,0,0,0,0,0,0
0,1,2,0,2,1,1,2,0,1,0,0,1,0,0,0,0,1
0,1,2,0,2,2,0,1,1,0,0,0,0,0,0,1,0,0
0,1,2,0,2,2,1,0,1,0,0,0,1,0,0,0,1,0
0,1,2,0,2,2,1,1,0,0,0,0,0,0,0,0,0,1
0,1,2,1,0,0,0,0,2,1,0,0,0,1,1,1,1,0
0,1,2,1,0,0,0,2,0,0,0,0,0,1,1,1,0,1
0,1,2,1,0,0,1,2,2,1,0,0,0,0,1,0,0,0
0,1,2,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0
0,1,2,1,0,0,2,1,2,0,0,0,0,1,0,0,0,0
0,1,2,1,0,0,2,2,1,0,0,0,0,1,0,0,0,0
0,1,2,1,0,1,0,2,2,0,0,0,0,1,0,1,0,0
0,1,2,1,0,1,2,0,2,0,0,0,0,1,0,0,0,0
0,1,2,1,0,1,2,2,0,0,0,0,0,1,0,0,0,0
0,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1
0,1,2,1,0,2,0,2,1,1,0,0,0,0,0,0,0,0
0,1,2,1,0,2,1,2,0,1,0,0,0,0,0,0,0,0
0,1,2,1,0,2,2,0,1,0,0,0,0,1,0,0,0,0
0,1,2,1,0,2,2,1,0,0,0,0,0,1,0,0,0,0
0,1,2,1,1,0,0,2,2,0,0,0,0,0,1,0,0,0
0,1,2,1,1,0,2,0,2,0,0,0,0,0,1,0,1,0
0,1,2,1,1,0,2,2,0,0,0,0,0,0,1,0,0,1
0,1,2,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1
0,1,2,1,1,2,2,0,0,0,0,0,0,0,0,0,1,1
0,1,2,1,1,2,2,2,1,1,0,0,0,0,0,0,0,0
0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,2,1,2,0,0,1,2,1,0,0,0,0,1,1,0,0
0,1,2,1,2,0,0,2,1,0,0,0,0,0,0,1,0,0
0,1,2,1,2,0,1,0,2,1,0,0,0,0,0,0,0,0
0,1,2,1,2,0,1,2,0,1,0,0,0,0,0,0,0,0
0,1,2,1,2,1,0,0,2,1,0,0,0,0,0,1,1,0
0,1,2,1,2,1,0,2,0,0,0,0,0,0,0,1,0,0
0,1,2,1,2,1,1,2,2,1,0,0,0,0,0,0,0,0
0,1,2,1,2,2,0,0,1,0,0,0,0,0,0,1,0,0
0,1,2,1,2,2,0,1,0,1,0,0,0,0,0,1,0,1
0,1,2,1,2,2,1,0,0,1,0,0,0,0,0,0,0,1
0,1,2,1,2,2,1,2,1,1,0,0,0,0,0,0,0,0
0,1,2,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0
0,1,2,2,0,0,0,1,0,0,0,0,0,1,0,1,0,1
0,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,1,2,2,0,0,1,1,2,0,0,0,0,1,0,0,0,0
0,1,2,2,0,0,1,2,1,1,0,0,0,1,1,0,0,0
0,1,2,2,0,0,2,1,1,0,0,0,0,1,0,0,0,0
0,1,2,2,0,1,0,0,0,1,0,0,0,1,0,1,1,0
0,1,2,2,0,1,0,1,2,0,0,0,0,1,0,0,0,0
0,1,2,2,0,1,0,2,1,1,0,0,0,1,0,1,0,0
0,1,2,2,0,1,1,0,2,1,0,0,0,1,0,0,1,0
0,1,2,2,0,1,1,2,0,1,0,0,0,1,0,0,0,1
0,1,2,2,0,1,2,0,1,1,0,0,0,1,0,0,1,0
0,1,2,2,0,1,2,1,0,0,0,0,0,1,0,0,0,0
0,1,2,2,0,2,0,1,1,0,0,0,0,1,0,1,0,0
0,1,2,2,0,2,1,0,1,0,0,0,0,1,0,0,1,0
0,1,2,2,0,2,1,1,0,0,0,0,0,1,0,0,0,1
0,1,2,2,1,0,0,0,0,1,0,0,0,0,0,0,1,1
0,1,2,2,1,0,0,2,1,1,0,0,0,0,0,0,0,0
0,1,2,2,1,0,1,0,2,0,0,0,0,0,0,0,1,0
0,1,2,2,1,0,1,2,0,1,0,0,0,0,1,0,0,1
0,1,2,2,1,0,2,0,1,1,0,0,0,0,0,0,1,0
0,1,2,2,1,1,0,0,2,0,0,0,0,0,0,0,1,0
0,1,2,2,1,1,0,2,0,1,0,0,0,0,0,1,0,1
0,1,2,2,1,1,1,2,2,1,0,0,0,0,0,0,0,0
0,1,2,2,1,1,2,0,0,1,0,0,0,0,0,0,1,0
0,1,2,2,1,1,2,2,1,1,0,0,0,0,0,0,0,0
0,1,2,2,1,2,0,0,1,1,0,0,0,0,0,1,1,0
0,1,2,2,1,2,1,0,0,0,0,0,0,0,0,0,1,1
0,1,2,2,1,2,1,2,1,1,0,0,0,0,0,0,0,0
0,1,2,2,2,0,0,1,1,0,0,0,0,0,0,1,0,0
0,1,2,2,2,0,1,0,1,0,0,0,0,0,0,0,1,0
0,1,2,2,2,0,1,1,0,0,0,0,0,0,0,0,0,1
0,1,2,2,2,1,0,0,1,0,0,0,0,0,0,1,0,0
0,1,2,2,2,1,0,1,0,0,0,0,0,0,0,1,0,0
0,1,2,2,2,1,1,0,0,1,0,0,0,0,0,0,1,1
0,1,2,2,2,1,1,1,2,1,0,0,0,0,0,0,0,0
0,1,2,2,2,1,1,2,1,1,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
0,2,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1
0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
0,2,0,0,0,0,1,1,2,1,0,1,0,0,0,0,0,0
0,2,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0
0,2,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0
0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
0,2,0,0,0,1,0,1,2,1,0,1,1,1,0,0,0,0
0,2,0,0,0,1,0,2,1,0,0,1,0,1,0,0,0,0
0,2,0,0,0,1,1,0,2,0,0,0,1,1,0,0,0,0
0,2,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0
0,2,0,0,0,1,2,0,1,1,0,1,1,1,0,0,0,0
0,2,0,0,0,1,2,1,0,1,0,1,1,1,0,0,0,0
0,2,0,0,0,2,0,1,1,1,0,0,0,1,0,1,0,0
0,2,0,0,0,2,1,0,1,1,0,1,1,1,0,0,1,0
0,2,0,0,0,2,1,1,0,1,0,1,1,1,0,0,0,1
0,2,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1
0,2,0,0,1,0,0,1,2,1,0,1,1,0,1,0,0,0
0,2,0,0,1,0,0,2,1,1,0,1,1,0,1,1,0,0
0,2,0,0,1,0,1,0,2,1,0,1,1,0,1,0,0,0
0,2,0,0,1,0,1,2,0,1,0,1,1,0,1,0,0,1
0,2,0,0,1,0,2,0,1,1,0,1,1,0,1,0,0,0
0,2,0,0,1,0,2,1,0,1,0,1,1,0,1,0,0,0
0,2,0,0,1,1,0,0,2,0,0,1,1,0,0,1,0,0
0,2,0,0,1,1,0,2,0,1,0,1,1,0,0,1,0,1
0,2,0,0,1,1,1,2,2,1,0,1,1,0,0,0,0,0
0,2,0,0,1,1,2,0,0,1,0,1,1,0,0,0,0,1
0,2,0,0,1,1,2,1,2,0,0,0,1,0,0,0,0,0
0,2,0,0,1,1,2,2,1,1,0,1,1,0,0,0,0,0
0,2,0,0,1,2,0,0,1,1,0,1,0,0,0,1,1,0
0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,1
0,2,0,0,1,2,1,0,0,1,0,1,1,0,0,0,1,1
0,2,0,0,1,2,1,1,2,0,0,1,0,0,0,0,0,0
0,2,0,0,1,2,1,2,1,1,0,1,1,0,0,0,0,0
0,2,0,0,1,2,2,1,1,1,0,0,0,0,0,0,0,0
0,2,0,0,2,0,0,1,1,0,0,1,0,0,1,1,0,0
0,2,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0
0,2,0,0,2,0,1,1,0,1,0,0,1,0,0,0,0,1
0,2,0,0,2,1,0,0,1,0,0,1,0,0,0,0,1,0
0,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1
0,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0
0,2,0,0,2,1,1,1,2,1,0,0,0,0,0,0,0,0
0,2,0,0,2,1,2,1,1,0,0,1,0,0,0,0,0,0
0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,2,0,1,0,0,0,1,2,1,0,1,0,1,1,0,0,0
0,2,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0
0,2,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,0
0,2,0,1,0,0,1,2,0,1,0,0,0,1,0,0,0,0
0,2,0,1,0,0,2,0,1,0,0,0,0,1,1,0,0,0
0,2,0,1,0,0,2,1,0,1,0,1,0,1,1,0,0,0
0,2,0,1,0,1,0,0,2,1,0,0,0,1,0,1,0,0
0,2,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0
0,2,0,1,0,1,1,2,2,1,0,0,0,1,0,0,0,0
0,2,0,1,0,1,2,0,0,0,0,1,0,1,0,0,0,1
0,2,0,1,0,1,2,1,2,0,0,0,0,1,0,0,0,0
0,2,0,1,0,1,2,2,1,0,0,1,0,1,0,0,0,0
0,2,0,1,0,2,0,0,1,1,0,0,0,0,0,1,0,0
0,2,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0
0,2,0,1,0,2,1,0,0,1,0,1,0,1,0,0,1,1
0,2,0,1,0,2,1,1,2,1,0,1,0,0,0,0,0,0
0,2,0,1,0,2,1,2,1,1,0,0,0,1,0,0,0,0
0,2,0,1,0,2,2,1,1,1,0,1,0,1,0,0,0,0
0,2,0,1,1,0,0,0,2,1,0,1,0,0,1,1,0,0
0,2,0,1,1,0,0,2,0,1,0,1,0,0,1,1,0,1
0,2,0,1,1,0,1,2,2,1,0,1,0,0,1,0,0,0
0,2,0,1,1,0,2,0,0,1,0,0,0,0,1,0,0,1
0,2,0,1,1,0,2,1,2,0,0,0,0,0,1,0,0,0
0,2,0,1,1,0,2,2,1,1,0,1,0,0,1,0,0,0
0,2,0,1,1,2,0,0,0,1,0,0,0,0,0,1,0,0
0,2,0,1,1,2,0,1,2,0,0,1,0,0,0,0,0,0
0,2,0,1,1,2,0,2,1,1,0,1,0,0,0,1,0,0
0,2,0,1,1,2,1,0,2,1,0,1,0,0,0,0,0,0
0,2,0,1,1,2,1,2,0,1,0,1,0,0,0,0,0,1
0,2,0,1,1,2,2,0,1,1,0,0,0,0,0,0,0,0
0,2,0,1,1,2,2,1,0,1,0,1,0,0,0,0,0,1
0,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0
0,2,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0
0,2,0,1,2,0,1,0,0,1,0,0,0,0,0,0,1,0
0,2,0,1,2,0,1,1,2,1,0,0,0,0,0,0,0,0
0,2,0,1,2,0,2,1,1,0,0,1,0,0,0,0,0,0
0,2,0,1,2,1,0,0,0,1,0,1,0,0,0,1,1,1
0,2,0,1,2,1,0,1,2,1,0,0,0,0,0,0,0,0
0,2,0,1,2,1,1,0,2,1,0,0,0,0,0,0,0,0
0,2,0,1,2,1,2,0,1,0,0,1,0,0,0,0,0,0
0,2,0,1,2,1,2,1,0,0,0,1,0,0,0,0,0,0
0,2,0,1,2,2,0,1,1,0,0,0,0,0,0,1,0,0
0,2,0,1,2,2,1,0,1,1,0,0,0,0,0,0,1,0
0,2,0,1,2,2,1,1,0,1,0,1,0,0,0,0,0,1
0,2,0,2,0,0,0,1,1,1,0,1,0,1,1,1,0,0
0,2,0,2,0,0,1,0,1,1,0,1,0,1,1,0,1,0
0,2,0,2,0,0,1,1,0,0,0,1,0,1,0,0,0,1
0,2,0,2,0,1,0,0,1,1,0,1,0,1,0,1,1,0
0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1
0,2,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,1
0,2,0,2,0,1,1,1,2,1,0,1,0,1,0,0,0,0
0,2,0,2,0,1,1,2,1,0,0,1,0,1,0,0,0,0
0,2,0,2,0,1,2,1,1,1,0,1,0,0,0,0,0,0
0,2,0,2,1,0,0,0,1,1,0,1,0,0,1,1,1,0
0,2,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,1
0,2,0,2,1,0,1,0,0,1,0,1,0,0,0,0,1,1
0,2,0,2,1,0,1,1,2,0,0,1,0,0,0,0,0,0
0,2,0,2,1,0,1,2,1,1,0,1,0,0,1,0,0,0
0,2,0,2,1,0,2,1,1,1,0,0,0,0,0,0,0,0
0,2,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1
0,2,0,2,1,1,0,1,2,1,0,1,0,0,0,1,0,0
0,2,0,2,1,1,0,2,1,1,0,1,0,0,0,1,0,0
